,Folder,File,Settings,Toolchain,Message,Runtime (ns),Peak memory consumption (bytes),Overall iterations,NumberOfCodeBlocks,SizeOfPredicatesFP,SizeOfPredicatesBP,Conjuncts in SSA,Conjuncts in UnsatCore,ICC %
,locks,test_locks_14_false-unreach-call.c,Z3_SP.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],60001436827.0,1.8135112E+8,-,-,-,-,-,-,-
,locks,test_locks_14_true-unreach-call.c,Princess_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],38843187517.0,1.20690424E+9,39,0,-,-,-,-,-
,locks,test_locks_14_true-unreach-call.c,SMTInterpol_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],34519391595.0,907300712,40,0,-,-,-,-,-
,locks,test_locks_14_true-unreach-call.c,SMTInterpol_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],32396831717.0,1879652408,39,0,2317,0,4714,117,-
,locks,test_locks_14_true-unreach-call.c,SMTInterpol_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],31893720147.0,971046784,40,0,2373,0,4842,120,-
,locks,test_locks_14_true-unreach-call.c,Z3_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],31259073254.0,903914008,39,0,2315,0,4706,117,-
,locks,test_locks_14_true-unreach-call.c,Z3_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],30476080807.0,1708048936,39,0,2319,0,4722,117,-
,locks,test_locks_14_true-unreach-call.c,Z3_SP-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],60113484633.0,529884496,-,-,-,-,-,-,-
,locks,test_locks_14_true-unreach-call.c,Z3_SP.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],60002921646.0,2.363114E+8,-,-,-,-,-,-,-
,locks,test_locks_15_false-unreach-call.c,Princess_Interpolation.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,1159778746.0,4.022444E+7,5,0,-,-,-,-,-
,locks,test_locks_15_false-unreach-call.c,SMTInterpol_Interpolation.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,33245713.0,25686368,5,0,-,-,-,-,-
,locks,test_locks_15_false-unreach-call.c,SMTInterpol_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,43852427.0,34461264,5,0,222,0,482,12,-
,locks,test_locks_15_false-unreach-call.c,SMTInterpol_SP-IC.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,42757680.0,34248704,5,0,222,0,482,12,-
,locks,test_locks_15_false-unreach-call.c,Z3_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,100420242.0,34462872,3,0,110,0,242,6,-
,locks,test_locks_15_false-unreach-call.c,Z3_SP-IC.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,144254335.0,5.9945E+7,5,0,222,0,482,12,-
,locks,test_locks_15_false-unreach-call.c,Z3_SP-LV.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,631128343.0,2.1834776E+8,4,0,318,0,360,9,-
,locks,test_locks_15_false-unreach-call.c,Z3_SP.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 231)],60008678367.0,86427136,27,0,23544,0,3202,81,-
,locks,test_locks_15_true-unreach-call_false-termination.c,Princess_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 231)],60000642715.0,2112120512,41,0,-,-,-,-,-
,locks,test_locks_15_true-unreach-call_false-termination.c,SMTInterpol_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 231)],60000666135.0,2082487408,42,0,-,-,-,-,-
,locks,test_locks_15_true-unreach-call_false-termination.c,SMTInterpol_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: UNKNOWN   Unable to prove that call of __VERIFIER_error() unreachable ,69013422811.0,1446188176,42,0,2572,0,5252,123,-
,locks,test_locks_15_true-unreach-call_false-termination.c,SMTInterpol_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: UNKNOWN   Unable to prove that call of __VERIFIER_error() unreachable ,60658883601.0,1412091808,42,0,2566,0,5228,123,-
,locks,test_locks_15_true-unreach-call_false-termination.c,Z3_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 231)],60001867523.0,2203155424,41,0,2576,0,5268,123,-
,locks,test_locks_15_true-unreach-call_false-termination.c,Z3_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 231)],60033405223.0,1.95495948E+9,41,0,2570,0,5244,123,-
,locks,test_locks_15_true-unreach-call_false-termination.c,Z3_SP-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 231)],60001059356.0,798521592,24,0,6973,0,3012,72,-
,locks,test_locks_15_true-unreach-call_false-termination.c,Z3_SP.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 231)],60009128984.0,38239824,25,0,21800,0,2964,75,-
,locks,test_locks_5_true-unreach-call_false-termination.c,Princess_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],1304293778.0,94219312,14,0,-,-,-,-,-
,locks,test_locks_5_true-unreach-call_false-termination.c,SMTInterpol_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],60631848.0,5.940108E+7,14,0,-,-,-,-,-
,locks,test_locks_5_true-unreach-call_false-termination.c,SMTInterpol_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],74678114.0,7.714884E+7,13,0,364,0,703,39,-
,locks,test_locks_5_true-unreach-call_false-termination.c,SMTInterpol_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],67073218.0,76373408,13,0,362,0,695,39,-
,locks,test_locks_5_true-unreach-call_false-termination.c,Z3_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],199931219.0,120039928,14,0,390,0,745,42,-
,locks,test_locks_5_true-unreach-call_false-termination.c,Z3_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],208361719.0,127346104,14,0,390,0,757,42,-
,locks,test_locks_5_true-unreach-call_false-termination.c,Z3_SP-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],1748180864.0,1.9821968E+8,10,0,701,0,535,30,-
,locks,test_locks_5_true-unreach-call_false-termination.c,Z3_SP.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],19050150408.0,54758944,81,0,18155,0,4711,243,-
,locks,test_locks_6_true-unreach-call_false-termination.c,Princess_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],1477311223.0,117541128,16,0,-,-,-,-,-
,locks,test_locks_6_true-unreach-call_false-termination.c,SMTInterpol_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],82540469.0,95318632,17,0,-,-,-,-,-
,locks,test_locks_6_true-unreach-call_false-termination.c,SMTInterpol_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],104806104.0,117539808,17,0,533,0,1032,51,-
,locks,test_locks_6_true-unreach-call_false-termination.c,SMTInterpol_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],106854044.0,121329192,17,0,533,0,1047,51,-
,locks,test_locks_6_true-unreach-call_false-termination.c,Z3_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],282599702.0,176382768,17,0,533,0,1047,51,-
,locks,test_locks_6_true-unreach-call_false-termination.c,Z3_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],264480984.0,165354272,16,0,504,0,986,48,-
,locks,test_locks_6_true-unreach-call_false-termination.c,Z3_SP-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],3326185678.0,2.6915904E+8,12,0,1057,0,732,36,-
,locks,test_locks_6_true-unreach-call_false-termination.c,Z3_SP.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 105)],60003558004.0,3.9161724E+8,181,0,53161,0,11877,543,-
