,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Peak memory consumption (bytes),Overall iterations,Overall time,Minimization time,Initial property automaton Locations,Initial property automaton Edges,Initial RCFG Locations,Initial RCFG Edges,Initial product Locations,Initial product Edges,Optimized Product Locations,Optimized Product Edges,Trivial modules,Deterministic modules,Nondeterministic modules,Remainer module,Avg Locs trivial modules,Avg Locs deterministic modules,Avg Locs nondeterministic modules
,P14,Problem14_prop_031.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],541379000619.0,7.78829824E+9,2.01893548E+9,36,538396198361,75861907224,3,6,670,2092,1991,12464,1264,11457,35,0,0,-,3.914285714285714,0.0,0.0
,P14,Problem14_prop_031.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],82082589847.0,8400142336,1537101424,26,74707175890,3605713187,3,6,670,853,1991,5030,943,2709,25,0,0,-,6.4,0.0,0.0
,P14,Problem14_prop_032.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],32050796066.0,8.454144E+9,2425423768,17,24403689530,620957568,2,3,670,853,1331,2522,606,1545,16,0,0,-,5.0,0.0,0.0
,P14,Problem14_prop_032.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],175315352619.0,8444182528,1184446768,21,173996457439,22918220810,2,3,670,2092,1331,6239,823,5302,20,0,0,-,3.9,0.0,0.0
,P14,Problem14_prop_032.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],175302109340.0,7826571264,2.98426912E+9,21,173986406845,29994287978,2,3,670,2092,1331,6239,823,5302,20,0,0,-,3.9,0.0,0.0
,P14,Problem14_prop_032.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],32047243802.0,8.29947904E+9,1.7678596E+9,17,24451174009,650586590,2,3,670,853,1331,2522,606,1545,16,0,0,-,5.0,0.0,0.0
,P14,Problem14_prop_033.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property G((A || F(B))) ,412073650607.0,8513912832,2355075768,107,405186763639,13965479182,2,3,670,853,1331,2522,606,1551,106,0,0,Nonterminating,10.462264150943396,0.0,0.0
,P14,Problem14_prop_033.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],789252009764.0,8515485696,5496767976,0,2234397,0,2,3,670,2092,1331,6239,823,5308,-,-,-,-,-,-,-
,P14,Problem14_prop_033.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],793277712748.0,7635730432,6377401272,0,2140669,0,2,3,670,2092,1331,6239,823,5308,-,-,-,-,-,-,-
,P14,Problem14_prop_033.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property G((A || F(B))) ,415552785981.0,7635730432,909102584,107,408621220666,14146142415,2,3,670,853,1331,2522,606,1551,106,0,0,Nonterminating,10.462264150943396,0.0,0.0
