,File,Settings,Toolchain,Result,Overall time,Overall iterations,Automata difference,Dead end removal time,Minimization time,Time for computing Hoare annotation,BasicInterpolantAutomatonTime,BiggestAbstraction,EdgeCheckerBenchmarkData_SDtfs,EdgeCheckerBenchmarkData_SDslu,EdgeCheckerBenchmarkData_SDs,EdgeCheckerBenchmarkData_lazy,EdgeCheckerBenchmarkData_Sat,EdgeCheckerBenchmarkData_Unsat,EdgeCheckerBenchmarkData_Unknown,EdgeCheckerBenchmarkData_NotChecked,EdgeCheckerBenchmarkData_EdgeCheckerTime,States removed by minization,TraceCheckerBenchmark_SsaConstructionTime,TraceCheckerBenchmark_SatisfiabilityAnalysisTime,TraceCheckerBenchmark_InterpolantComputationTime,TraceCheckerBenchmark_NumberOfCodeBlocks,TraceCheckerBenchmark_NumberOfCodeBlocksAsserted,TraceCheckerBenchmark_NumberOfCheckSat,TraceCheckerBenchmark_SizeOfPredicatesFP,TraceCheckerBenchmark_SizeOfPredicatesBP,TraceCheckerBenchmark_NumberOfQuantifiedPredicates,TraceCheckerBenchmark_Conjuncts in SSA,TraceCheckerBenchmark_Conjuncts in UnsatCore,InterpolantCoveringCapability
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/bubble_sort_linux_true-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/FPandBP_2TrackAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,29173685388,7,3672609544,0,9053218,0,8305407601,size=272occurred in iteration=3,1725,1101,5019,0,1425,33,0,0,3337200263,476,56737315,110234053,10147829236,83,83,6,1650,741,[I@17d0ee44,1136,350,0/0
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/bubble_sort_linux_true-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/ForwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,29050456766,6,1671595442,0,8994329,0,7713612,size=212occurred in iteration=5,1338,1394,1127,0,561,36,0,0,1498642907,313,59785624,112743967,25109958845,65,65,5,2554,0,[I@15cabe93,828,247,0/0
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/dll_of_dll_false-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/FPandBP_2TrackAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,29478738488,5,1412734073,0,35871159,0,8106808397,size=201occurred in iteration=3,957,127,5700,0,934,36,0,0,980184951,71,113062270,649818852,1883910348,132,132,4,308,360,[I@1503e54c,2891,122,0/0
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/dll_of_dll_false-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/ForwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,29476031995,5,779310355,0,37349920,0,2532960,size=201occurred in iteration=3,957,105,3750,0,576,22,0,0,633264073,71,119423579,477526500,324036414,132,132,4,308,0,[I@32c2eb5b,2891,122,97/101
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/dll_of_dll_true-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/FPandBP_2TrackAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,29679097159,5,1583668371,0,21583335,0,8279126794,size=201occurred in iteration=3,957,127,5700,0,934,36,0,0,1128280957,71,86920716,600661524,1955868919,132,132,4,308,360,[I@31a5b012,2891,122,0/0
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/dll_of_dll_true-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/ForwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,29433249094,5,1003296121,0,23226407,0,3615665,size=201occurred in iteration=3,957,105,3750,0,576,22,0,0,850114601,71,116414933,731185940,451738549,132,132,4,308,0,[I@74ca8734,2891,122,97/101
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/merge_sort_false-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/BackwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,UNSAFE,6332649544,9,5653200537,0,26269730,0,5414269,size=108occurred in iteration=8,1275,1618,2239,0,1223,39,0,0,4918855485,560,111472662,128137329,350113223,142,142,9,0,897,[I@f87480d,808,202,6/12
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/merge_sort_false-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/FPandBP_2TrackAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,UNSAFE,10369150002,8,6912206921,0,19876571,0,2113611660,size=108occurred in iteration=7,1100,1736,2828,0,1669,50,0,0,5762593266,463,83250613,110907295,1080587989,121,121,8,720,779,[I@7a8b5571,711,166,0/0
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/merge_sort_false-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/ForwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,UNSAFE,5892688381,9,4672695096,0,27202188,0,5567273,size=108occurred in iteration=8,1264,1487,1941,0,955,32,0,0,4191403192,502,116439651,163650546,843100017,140,140,9,840,0,[I@5196ac91,889,202,14/20
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/merge_sort_true-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/BackwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,22992678946,19,16910653602,0,47531714,0,11914753,size=183occurred in iteration=17,3030,4328,7185,0,3926,123,0,0,14665780599,1484,273832612,407925158,5278064902,475,475,19,0,4630,[I@1c72a2d3,3332,746,41/91
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/merge_sort_true-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/FPandBP_2TrackAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,22731026896,12,10702864512,0,17637829,0,6610981910,size=135occurred in iteration=11,1716,2341,4460,0,2347,66,0,0,9037486492,695,113635341,176308704,4966880477,206,206,11,2106,1762,[I@2a1fd93c,1519,333,0/0
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/merge_sort_true-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/ForwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,22953152621,21,14280850982,0,33875163,0,12075341,size=183occurred in iteration=20,3027,3420,5415,0,2547,94,0,0,12892747589,1067,268309621,437023513,7662932730,491,491,20,5241,0,[I@10ef07bf,3631,734,58/93
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/sll_to_dll_rev_false-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/BackwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,39048634483,2,2724052,0,1618402,0,639751,size=164occurred in iteration=0,196,0,0,0,0,0,0,0,0,0,11045836,20584317,1359519,12,12,1,0,11,[I@1ae9bd66,170,1,0/0
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/sll_to_dll_rev_false-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/FPandBP_2TrackAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,32020053747,2,2191021,0,1291147,0,19183529,size=164occurred in iteration=0,196,0,0,0,0,0,0,0,0,0,10476949,14872593,1556007,12,12,1,11,11,[I@67918157,170,1,0/0
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/sll_to_dll_rev_false-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/ForwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,29612563327,3,87154576,0,6781243,0,1500749,size=173occurred in iteration=2,419,25,364,0,56,7,0,0,68430044,27,52422830,88850148,4604450310,28,28,2,354,0,[I@1c2abe0,460,105,0/0
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/sll_to_dll_rev_true-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/BackwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,29601251604,2,2145539,0,1327316,0,582832,size=164occurred in iteration=0,196,0,0,0,0,0,0,0,0,0,12425718,13660976,1072211,12,12,1,0,11,[I@3ce59548,170,1,0/0
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/sll_to_dll_rev_true-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/FPandBP_2TrackAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,29664755005,2,1914811,0,1160643,0,17779263,size=164occurred in iteration=0,196,0,0,0,0,0,0,0,0,0,8552630,12277419,1459506,12,12,1,11,11,[I@4abc934,170,1,0/0
